skill A                skill B                 jaccard  palabras compartidas
ms-do                  ms-how                     0.20  cambio, do, how, md, plan, solución, técnica, xxxx
ms-fix                 ms-new                     0.19  analiza, bug, cambio, comportamiento, documenta, explícitamente, flujo, how, trabajo, vez
ms-fast                ms-internal-tech-analysis     0.14  análisis, arquitectura, biblia, cambio, estilo, falta, fast, información, más, nada, new, trivial
ms-fix                 ms-how                     0.13  analiza, cambio, do, encadena, how
ms-new                 ms-todo                    0.12  apuntada, código, flujo, idea, nueva, pedir, todo, trabajo
ms-do                  ms-new                     0.12  automáticamente, cambio, código, entrada, how, implementar, xxxx
ms-how                 ms-new                     0.12  analiza, cambio, how, new, planificar, xxxx
ms-internal-workflow   ms-new                     0.11  crear, entrada, existente, flujo, new, nueva
ms-fast                ms-fix                     0.10  análisis, cambio, directamente, documenta, explícitamente, flujo, implementa
ms-do                  ms-internal-tech-analysis     0.10  cambio, contexto, código, documentación, grafo, how, técnica
ms-internal-tech-analysis ms-internal-workflow       0.10  agnóstico, compartido, interno, new, skills, uso
ms-do                  ms-internal-graph          0.09  contexto, código, grafo, regenera
ms-how                 ms-internal-tech-analysis     0.08  analizar, cambio, how, new, técnica
ms-do                  ms-fix                     0.08  cambio, do, how, implementa
ms-fast                ms-new                     0.07  cambio, documenta, explícitamente, flujo, new, petición
ms-do                  ms-fast                    0.07  aplica, cambio, implementa, md, plan
ms-internal-graph      ms-internal-tech-analysis     0.06  arquitectura, contexto, código, grafo
ms-fast                ms-todo                    0.06  description, flujo, md, más, ni
ms-fast                ms-how                     0.06  cambio, md, new, plan
ms-init                ms-status                  0.06  actual, carpetas, cualquier, otra
ms-internal-workflow   ms-todo                    0.05  flujo, nueva, otra
ms-status              ms-todo                    0.05  carpeta, ideas, otra, todo
ms-internal-tech-analysis ms-new                     0.05  cambio, código, how, new
ms-how                 ms-internal-workflow       0.05  do, new
ms-fix                 ms-internal-tech-analysis     0.05  análisis, cambio, how
ms-fix                 ms-internal-workflow       0.04  do, flujo
ms-init                ms-internal-graph          0.04  ficheros, json
ms-init                ms-internal-workflow       0.04  otra, proceso
ms-do                  ms-internal-workflow       0.04  do, entrada
ms-new                 ms-status                  0.04  existente, explícitamente, todo
ms-internal-tech-analysis ms-status                  0.03  devuelve, fast, solo
ms-fix                 ms-todo                    0.03  flujo, trabajo
ms-init                ms-todo                    0.03  más, otra
ms-do                  ms-todo                    0.03  código, md
ms-internal-workflow   ms-status                  0.03  existente, otra
ms-fast                ms-internal-graph          0.03  arquitectura, ficheros
ms-fast                ms-internal-workflow       0.03  flujo, new
ms-fast                ms-init                    0.03  ficheros, más
ms-internal-tech-analysis ms-todo                    0.03  código, más
ms-how                 ms-internal-graph          0.03  genera
ms-fast                ms-status                  0.02  explícitamente, fast
ms-how                 ms-init                    0.02  existe
ms-how                 ms-todo                    0.02  md
ms-internal-graph      ms-todo                    0.02  código
ms-internal-graph      ms-new                     0.02  código
ms-internal-graph      ms-status                  0.02  fichero
ms-fix                 ms-status                  0.01  explícitamente
ms-init                ms-internal-tech-analysis     0.01  más
ms-do                  ms-status                  0.01  según
ms-internal-graph      ms-internal-workflow       0.00  -
ms-init                ms-new                     0.00  -
ms-how                 ms-status                  0.00  -
ms-fix                 ms-internal-graph          0.00  -
ms-fix                 ms-init                    0.00  -
ms-do                  ms-init                    0.00  -
