# Estado del proyecto — closed

*Generado: 2026-07-30*

| Código | Tipo | Descripción | Fecha |
| --- | --- | --- | --- |
| 00001 | change | Se pide eliminar la implementación actual del flujo de modo edición y sustituirla por un flujo de entrar/salir: un botón "Entrar en modo edición" visible en modo juego, y al activarse, una barra de tareas propia del modo edición en la parte superior... | 2026-07-25 |
| 00002 | change | La app representa conceptualmente una "mesa de juego infinita". Este cambio introduce varias piezas relacionadas: 1. **Mesa infinita funcional**: el área de contenido/tablero pasa a ser una superficie navegable mediante pan (arrastrar) y zoom (rueda... | 2026-07-25 |
| 00003 | fix | Tras implementar el cambio 00002 (mesa de juego infinita, restyle general y modal de edición de componentes), se han detectado tres problemas de comportamiento: 1. **`.infinite-table__world` no ocupa toda la pantalla**: la capa interior de la mesa in... | 2026-07-25 |
| 00004 | fix | En el modo edición, al arrastrar un elemento (componente) y soltarlo en una nueva posición, actualmente se abre siempre la ventana modal de configuración del componente. Este comportamiento es incorrecto: la ventana de configuración debe abrirse únic... | 2026-07-25 |
| 00005 | change | Sustituye el listado actual de componentes del modo edición (hoy un `<ul>` simple en un panel lateral fijo, en [`src/ui/componentList.js`](../../../src/ui/componentList.js) y [`src/modes/edit/editMode.js`](../../../src/modes/edit/editMode.js)) por un... | 2026-07-25 |
| 00006 | fix | — Qué comportamiento está roto: al pulsar el botón de añadir un nuevo componente en el modo edición, el componente creado aparece visualmente encima del/los componente(s) ya existentes en la mesa, en lugar de en una posición propia e independiente. A... | 2026-07-25 |
| 00007 | fix | Al hacer clic sobre una fila del panel flotante de componentes (modo edición), la selección debería marcar visualmente esa fila en la lista y resaltar con un contorno discontinuo el componente correspondiente en la mesa (comportamiento documentado en... | 2026-07-25 |
| 00009 | change | El usuario debe poder arrastrar y mover por la pantalla el panel flotante de la lista de componentes en modo edición, agarrando la barra de título del panel (cabecera con el texto "Componentes" y el botón de colapsar). Comportamiento esperado: | 2026-07-25 |
| 00010 | fix | En modo edición, al hacer doble clic sobre un elemento de la mesa (por ejemplo, una caja de texto), debería abrirse la ventana de configuración de ese componente para poder editar sus propiedades. Actualmente esto no ocurre: el doble clic no dispara... | 2026-07-25 |
| 00011 | change | Se añaden dos mecanismos de persistencia complementarios: uno automático e inmediato en el propio navegador, y otro manual para guardar el trabajo como fichero. ### Autoguardado inmediato en el navegador Cada vez que se añade, edita, mueve, redimensi... | 2026-07-25 |
| 00012 | change | Se cambia la denominación del tipo de componente "cuadro de texto": donde hoy se identifica internamente como "cuadro-texto", pasa a identificarse como "texto". Es un cambio puramente de nomenclatura, no de comportamiento: las mismas propiedades (con... | 2026-07-25 |
| 00013 | change | Se añade un botón "Eliminar" a la ventana de configuración de componentes (la ventana de edición de un elemento, común a todos los tipos de elemento existentes), situado en el extremo izquierdo de la zona de botones inferior, con un color rojo que lo... | 2026-07-25 |
| 00014 | change | Hoy el autoguardado en el navegador (localStorage) recuerda únicamente la lista de componentes de la mesa. Al recargar la página, el panel flotante de "Componentes" del modo edición vuelve siempre a su estado inicial (posición por defecto arriba-dere... | 2026-07-25 |
| 00015 | change | Se añade a la ventana de configuración de cualquier tipo de control (componente), en su pestaña "Generales", un nuevo checkbox llamado "Mover en Modo Juego". Este checkbox indica si ese componente concreto podrá arrastrarse libremente por toda la mes... | 2026-07-25 |
| 00016 | fix | En la mesa infinita (tanto en modo juego como en modo edición), al mover un elemento marcado como movible fuera de la zona actualmente visible, la vista de la mesa (el desplazamiento/zoom al que el usuario la había llevado) se reinicia bruscamente a... | 2026-07-25 |
| 00017 | change | Se añade al modo edición una segunda ventana flotante, "Recursos", que convive con la ya existente ventana de "Componentes" y funciona de forma análoga a ella: se puede mover arrastrando su cabecera, redimensionar desde su esquina inferior derecha y... | 2026-07-25 |
| 00018 | change | Se invierte el significado del checkbox general de configuración de componentes que hoy se llama "Mover en Modo Juego". A partir de este cambio, el checkbox pasa a llamarse "Bloqueado" y funciona al contrario que antes: | 2026-07-25 |
| 00019 | change | Se añade "Tablero" como nuevo tipo de componente que se puede colocar sobre la mesa, junto al ya existente "Cuadro de texto". Es un elemento cuadrado con un borde y un fondo configurables. ### Alta del componente Como hasta ahora solo existía un tipo... | 2026-07-25 |
| 00020 | change | Se añade "Dado" como nuevo tipo de componente que se puede colocar sobre la mesa, junto a los ya existentes "Cuadro de texto" y "Tablero" (cambio 00019). Se crea, mueve y redimensiona en modo edición igual que cualquier otro componente, y se le puede... | 2026-07-25 |
| 00021 | change | Se añade un nuevo botón que reajusta la vista de la mesa infinita (posición y zoom) para que todos los elementos existentes queden visibles a la vez en la pantalla, sin tener que hacerlo manualmente arrastrando y haciendo zoom con la rueda del ratón.... | 2026-07-25 |
| 00022 | change | Cuando se genera una versión del entregable (a través de la skill `ms-version`), el HTML resultante debe mostrar el número de versión también en el título de la pestaña del navegador, con el formato "Errantes v.XXXX" (con punto antes del número). Est... | 2026-07-25 |
| 00023 | fix | Al generar el entregable (`build.py`), la inyección del número de versión en el título de la página (introducida en el cambio 00022) sustituye el `<title>...</title>` completo por un texto que `build.py` tiene escrito literalmente, incluyendo el text... | 2026-07-25 |
| 00024 | change | Se añaden dos botones nuevos, "Exportar" e "Importar", en la barra de herramientas del modo edición, junto al botón "Guardar" ya existente. El objetivo es que el usuario pueda exportar únicamente los datos de sus componentes (no la aplicación complet... | 2026-07-25 |
| 00025 | fix | Al insertar un tablero en el editor, el elemento se crea con una configuración por defecto (color, patrón o imagen ya establecidos), pero al aparecer en pantalla se muestra vacío, sin reflejar esa configuración por defecto. Si a continuación el usuar... | 2026-07-25 |
| 00026 | fix | En las ventanas de configuración (por ejemplo, la que permite editar las propiedades de un tablero), los controles desplegables (los que permiten elegir una opción entre varias, como el tipo de fondo) no comparten el mismo estilo visual que el resto... | 2026-07-25 |
